数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
0d7ebd8955d140cfbf603dccc4a56a54,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,109,beats/min,,,2025-04-07 09:43:39, , , , ,1,1
d269a95fd1164716b5e80187a4003b36,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,109,beats/min,,,2025-04-07 09:43:54, , , , ,1,1
25b753f2aa0a49a48c664af28b111ac6,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,107,beats/min,,,2025-04-07 09:42:54, , , , ,1,1
be01151641a04654932ffc6f4de3f439,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:43:04, , , , ,1,1
59f00b7e5058414a9285f85d77e57653,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,107,beats/min,,,2025-04-07 09:43:09, , , , ,1,1
f53ae047755d43be9b1d603be4ccb203,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:43:14, , , , ,1,1
3b9134c1b99e46f7871f40589debd042,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:42:59, , , , ,1,1
d237fab478ce47a1a2d27e5621a9790d,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:43:19, , , , ,1,1
531fdffd81f841978944eae9462081e2,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:43:24, , , , ,1,1
ec72151dfb8c4a08b83e553940901551,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,107,beats/min,,,2025-04-07 09:42:49, , , , ,1,1
3cf1792275d24b8d9dab4c5bdfcbb75d,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,88,beats/min,,,2025-04-07 09:42:44, , , , ,1,1
625c672cc9a749ec94627186dbbc7970,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,112,beats/min,,,2025-04-06 08:46:59, , , , ,1,1
8ff69880e2a64eed9b75750392c353db,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,114,beats/min,,,2025-04-06 08:47:04, , , , ,1,1
ad66f78f247b40958035bf9bcf6e31c1,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:47:09, , , , ,1,1
b8da83839810423f8cdc5aa5593f3d6e,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:47:14, , , , ,1,1
acdb1eaecd694aaf9b57b19c9eb2a8cb,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:46:44, , , , ,1,1
4e0c79c141bd47b1ad8c70b4f1485682,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,114,beats/min,,,2025-04-06 08:46:49, , , , ,1,1
dd220fa1598943a9a0bb4a64da550796,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:46:29, , , , ,1,1
5d1bd67308c9432fb7d7feebf4070dcc,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,115,beats/min,,,2025-04-06 08:46:34, , , , ,1,1
a94390dccc544e35abf900a5523bc9d5,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:46:54, , , , ,1,1
72529e060ab4408290a606a286db35c9,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:46:39, , , , ,1,1
63cedb6d4d8142fabd35d1013f7c221e,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:46:14, , , , ,1,1
0b849a8bd9e0425d98ef2ce4044a9f1e,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:46:04, , , , ,1,1
38f19a43e0f943d0ae8571b3896e5085,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:46:09, , , , ,1,1
68e47afb6bef4fb38e38f62f7b1c68eb,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:46:24, , , , ,1,1
8f0bc8f2b43d4952bf54112debce160e,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:46:19, , , , ,1,1
8d173d322bdc4bbe92a6c2de7ec8c0bb,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,115,beats/min,,,2025-04-06 08:45:59, , , , ,1,1
5777ff99e6b14b80825a5940a1ba8101,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:45:54, , , , ,1,1
dbfab09ca88d4c83bee5fd6a0feccb3d,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,111,beats/min,,,2025-04-06 08:45:39, , , , ,1,1
0912eb4d6d084edfa276baed92a21c6c,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,110,beats/min,,,2025-04-06 08:45:44, , , , ,1,1
786a79273dad478580f0cf89ca4e27a3,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:45:49, , , , ,1,1
8117fe9860114dba9ea6e3922c80983c,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,112,beats/min,,,2025-04-06 08:45:34, , , , ,1,1
3cce46cd41424a9a80f52bb3b8340d2c,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:45:24, , , , ,1,1
